,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
spell_apotheosis_sea_mimic_desc,Summons a large body of mimicium under the caster; Uncopyable,Призывает большое количество мимикиума под заклинателем; Некопируемое,,,,,,,在施法者脚下召唤一个巨大的拟态体; 无法被其他法术复制。,詠唱者の下にある大きなエリアをミミキウムで満たす。文字呪文でコピーできない。,,,,
spell_apotheosis_piercing_shot_desc_old,"Makes a projectile penetrate 5 times, but become harmful to the caster","Снаряд пробивает 5 раз, но становится опасным для заклинателя",,,,,,,令投射物能够穿透敌人 5 次，但对施放者也可造成伤害,放射物が敵に5ヒットするが、自傷効果を持つようになる。,,,,
spell_apotheosis_piercing_shot_desc,Makes a projectile penetrate 5 times,Снаряд пробивает 5 раз,,,,,,,令投射物能够穿透敌人 5 次,放射物が敵に5ヒットする。,,,,
spell_apotheosis_locked_spell_name,Faulty Magic,Неисправная магия,,,,,,,失效的法术,封印されたスペル,,,,
spell_apotheosis_locked_spell_desc,It seems this magic is unusable after being afflicted by a curse.,"Похоже, эта магия непригодна для использования после того, как на неё наложено проклятие.",,,,,,,看起来这个被诅咒缠绕的法术已经无法使用了。,このスペルは呪いによって使用できない。,,,,
orb_apotheosis_12_desc,Secrets of controlling the arcane have been unlocked to you.,Вам открылись секреты управления тайными знаниями.,,,,,,,操纵奥术的秘密已然向你开放。,アルカナを操る技が解放された。,,,,
orb_apotheosis_14_desc,Secrets of the drowning depths have been unlocked to you.,Вам открылись секреты утопающих глубин.,,,,,,,沉溺深渊的秘密已然向你开放。,水に沈んだ知識が解放された。,,,,
orb_apotheosis_15_desc,Secrets of unworldly transmutation have been unlocked to you.,Вам открылись секреты потусторонней трансмутации.,,,,,,,奇异变形的秘密已然向你开放。,世界を作りかえる力が解放された。,,,,
orb_apotheosis_16_desc,Secrets of wild magic have been unlocked to you.,Вам открылись секреты дикой магии.,,,,,,,疯狂魔法的秘密已然向你开放。,ワイルドな魔法の力が解放された。,,,,
book_apotheosis_orbbook_12_name,Emerald Tablet - Volume XI,Изумрудная скрижаль - том XI,,,,,,,翡翠石板 - 卷十一,,,,,
book_apotheosis_orbbook_12_description,"The world shook asunder and cried in neither fear nor joy,\nnor anger nor sadness, nor any.\nnor the tears flew above or below, but to the east and west. \nThe world birth itself anew as it grew and took on new forms \nSome creatures were weary \nSome intrigued \nOthers excited \nMany unaware.","Мир содрогнулся и закричал ни от страха, ни от радости,\nни от гнева, ни от печали, ни от чего-либо ещё.\nИ слёзы текли не вверх и не вниз, а на восток и на запад. \nМир заново родился, когда он вырос и принял новые формы \nНекоторые существа были утомлены \nНекоторые заинтригованы \nДругие взволнованы \nМногие не подозревали",,,,,,,世界震动得四分五裂，哭泣声既不恐惧也不喜悦，\n既不愤怒也不悲伤。\n泪水不向上或下飞，而是向东和西飞去。\n世界在成长，以新的形式诞生。\n一些生物警惕\n一些好奇\n一些兴奋\n更多的是浑然不知。,,,,,
book_apotheosis_orbbook_13_name,Emerald Tablet - Volume XII,Изумрудная скрижаль - том XII,,,,,,,翡翠石板 - 卷十二,,,,,
book_apotheosis_orbbook_13_description,"There once was a time the world froze to a halt.\nThe water didn't flow, the heart didn't beat and the box didn't fall.\nAfter a moment time flowed again as it always did, however,\nsomething was missing afterwards.\nLook around you, do you not sense it?\nIt is our pursuit to discover what that thing was.","Когда-то мир замер.\nВода не текла, сердце не билось, а ящик не падал.\nЧерез мгновение время снова потекло, как и всегда, однако\nпосле этого чего-то не хватало.\nОглянитесь вокруг, разве вы не чувствуете этого?\nМы стремимся узнать, что это было.",,,,,,,曾经有一段时间，世界停滞了。\n水不再流动，心不再跳动，盒子也不再下落。\n片刻之后，时间又像往常一样流淌，然而，\n某种事物在那之后却消失了。\n看看你的周围，难道你感觉不到吗？\n我们的追求就是发觉那消失之物。,,,,,
book_apotheosis_orbbook_14_name,Emerald Tablet - Volume XIII,Изумрудная скрижаль - том XIII,,,,,,,翡翠石板 - 卷十三,,,,,
book_apotheosis_orbbook_14_description,"The bird cackled and sang\nWhat good is one's time if it is without encouragement?\nTo those who dream when they feel, they know not the encouragement\nof knowing what to do before their dream and how much.\nTo those who plan their dream ahead of time, when and where,\nthey know what they can do and what time they have to do it.\nThe bird cackled once more before it flew off.\nIt's wisdom soaked into the minds of those who heard it, \nas water soaked into glass.","Птица кудахтала и пела\nЧто толку во времени, если оно без ободрения?\nТе, кто мечтает, когда чувствует, не знают ободрения\nот знания того, что делать перед своей мечтой и сколько.\nТе, кто планирует свою мечту заранее, когда и где,\nзнают, что они могут сделать и сколько у них есть времени, чтобы сделать это.\nПтица ещё раз кудахтнула, прежде чем улететь.\nЕё мудрость впиталась в умы тех, кто её слышал, \nкак вода впитывается в стекло.",,,,,,,鸟儿咯咯叫着，唱道\n如果没有鼓励，时间又有何用处呢？\n对于那些凭感觉做梦的人来说，他们并不知道\n在实现梦想之前需要做什么以及需要多少鼓励。\n而那些提前计划梦想的人则知道何时、何地去行动，\n他们知道自己能做什么，有多少时间去做。\n鸟儿咯咯叫着飞走了。\n它的智慧浸透了听到它的人的心灵，\n就像水浸透了玻璃一样。,,,,,
book_apotheosis_orbbook_15_name,Emerald Tablet - Volume XIV,Изумрудная скрижаль - том XIV,,,,,,,翡翠石板 - 卷十四,,,,,
book_apotheosis_orbbook_15_description,"If only you knew how the mountains were made.\nHow the rivers flowed,\nWhy the emeralds were heavy,\nWhat creature made the eternal fire.\nOur art is not wrapped in layers of secrecy because we hide it.\nYou can know, but choose not to, and so are left with nothing to do but pray to your gods for salvation.","Если бы вы только знали, как создавались горы.\nКак текли реки,\nПочему изумруды были тяжёлыми,\nКакое существо создало вечный огонь.\nНаше искусство не окутано слоями секретности, потому что мы его скрываем.\nВы можете знать, но предпочитаете не знать, и поэтому вам не остаётся ничего другого, кроме как молиться своим богам о спасении.",,,,,,,如果你知道高山是如何形成的，\n河流是如何流动的，\n为什么翡翠如此沉重，\n何种生物创造了永恒之火，你就会明白。\n我们的技艺并没有因为我们的隐藏而被包裹在层层神秘中。\n你本可以知晓，但你选择不去探索，所以你只能向你的神祈求救赎。,,,,,
book_apotheosis_orbbook_stone_workinprogress_description,"Seeker of knowledge, your nose is on the right path \nyet some secrets are yet to be revealed.","Искатель знаний, ваш нос на верном пути, \nно некоторые секреты ещё предстоит раскрыть.",,,,,,,知识的寻求者，你的方向是对的。\n有些秘密还未被揭示。,,,,,
book_apotheosis_orbbook_stone_12_description,Evolution is forever changing.,Эволюция постоянно меняется.,,,,,,,进化永远在变化。,,,,,
book_apotheosis_orbbook_stone_13_description,Bring your friends along when you travel.,"Берите с собой друзей, когда путешествуете.",,,,,,,旅行时带上你的朋友们。,,,,,
book_apotheosis_orbbook_stone_14_description,"To gain true knowledge, one must remain pure and unintoxicated.","Чтобы обрести истинное знание, нужно оставаться чистым и не опьянённым.",,,,,,,要获得真知卓识，必须保持纯洁，不被迷惑。,,,,,
book_apotheosis_orbbook_stone_15_description,Attune with and home in on your goals;\nDo so and your arrow shall move faster.,"Настройтесь на свои цели и сфокусируйтесь на них;\nСделайте это, и ваша стрела будет двигаться быстрее.",,,,,,,校准后瞄准你的目标，这样做你的箭就会飞得更快。,,,,,
book_apotheosis_playerghost_name,A Message From Beyond,Послание извне,,,,,,,来自世界之外的信息,彼方からのメッセージ,,,,
book_apotheosis_playerghost_description,"To those who seek knowledge not true, but divine.\nOne should stand at the altar alone.","Тем, кто ищет знания не истинные, а божественные.\nСледует стоять у алтаря в одиночестве.",,,,,,,寻求神圣知识，而非真正知识的人们，\n要独自站立在那圣坛之上。,,,,,
book_apotheosis_playerghost_description_temp,"To those who seek knowledge not true, but divine.\nOne should turn emerald knowledge to stone.","Тем, кто ищет знания не истинные, а божественные.\nСледует превратить изумрудное знание в камень.",,,,,,,寻求神圣知识，而非真正知识的人们，\n要将翡翠知识变为石头。,,,,,
book_apotheosis_materia_conversion_spell_description_new,Conversion.. \nRemember these words.... \nFungus \nWorm \nRat \nSpark \nMass \nLetter \nLifetime,Превращение... \nЗапомните эти слова.... \nГрибок \nЧервь \nКрыса \nИскровая \nМассовая \nБуква \nВремя,,,,,,,转化...\n记住这几个词....\n真菌\n蠕虫\n老鼠\n火花\n群体\n字母\n存在时间,,Kono kotoba wo oboete oku youni...\nKinoko \nWorm \nNezumi \nHibana \nフィールド,,,
book_apotheosis_material_spells_name,Lost Alchemy,Потерянная алхимия,,,,,,,遗失的炼金术,失われた秘術,,,,
book_apotheosis_material_spells_description,"I used to commit alchemy here a long time ago, it was a safe hideaway where my brothers wouldn't bother me. \nHowever.. it seems these ants have taking a liking to it. \n..Never the matter, to my future self, the master of alchemy, \nturn this metal into a material which aids with flight, and your vault will be unlocked to you. \nIf you're someone who isn't me and you found this place, please leave what you found untouched.","Я занимался алхимией здесь давным-давно, это было безопасное убежище, где мои братья не беспокоили меня. \nОднако... похоже, эти муравьи облюбовали это место. \n...Неважно, моему будущему «я», мастеру алхимии, \nпреврати этот металл в материал, который помогает летать, и твоё хранилище будет открыто для тебя. \nЕсли ты не я, и ты нашёл это место, пожалуйста, оставь то, что ты нашёл, нетронутым.",,,,,,,很久以前，我经常在这里炼金，这是个安全的藏身所，我的兄弟们不会来打扰我。\n不过...看起来这些蚂蚁似乎对这此处很感兴趣。\n...算了，对于未来的我，作为炼金术大师，\n请你把这块金属转换成有助于飞行的材料，你的金库就会向你敞开。\n如果你不是我并且你发现了这个地方，请不要碰任何东西。,,,,,
book_apotheosis_omegadeath_name,Death,Смерть,,,,,,,死亡,死神の言葉,,,,
book_apotheosis_omegadeath_description,"Follow my exact path only. I detailed it in the land containing the diamond. \nOnly the uninitiated will bare usefulness to this knowledge to avoid corruption among our ranks, \nso teach the right way to teleport only to those pure. \nThose who have strayed from my pathway will not be rewarded with death.","Следуйте только по моему точному пути. Я подробно описал его в земле, где находится алмаз. \nТолько непосвящённые будут использовать эти знания, чтобы избежать разложения в наших рядах, \nпоэтому учите правильному способу телепортации только чистых. \nТе, кто сбился с моего пути, не будут вознаграждены смертью.",,,,,,,只能按照我的路线前进。我在蕴含钻石的土地上详细描述了它。\n为避免我们队伍中的腐败，只有不知情者才能知道这些知识的用处，\n所以正确的传送方式只能传授给那些纯洁的人。\n那些偏离了我的道路的人将不会得到死亡的奖励。,,,,,
book_apotheosis_realquest_name,Day 7,День 7,,,,,,,第七天,,,,,
book_apotheosis_realquest_description,"I've come here in search of the legendary Red Fish, I remember its name on the tip of my tongue..\nSomething starting with H.. yet I can't recall it\nNo matter, I'll name it after myself after I become the first to discover it.\nThen I'll never forget its name again!","Я пришёл сюда в поисках легендарной Красной Рыбы, я помню её имя на кончике языка..\nЧто-то начинающееся с H... но я не могу вспомнить\nНеважно, я назову её в честь себя, после того как стану первым, кто её обнаружит.\nТогда я никогда больше не забуду её имя!",,,,,,,我来到这里寻找传说中的朱红鱼，我把它的名字记在嘴边...\n好像是 H 开头的.. 但我想不起来了\n没事的，等我成为第一个找到它的人后，我会给它起个名字。\n那样我就再也不会忘记它的名字了！,,,,,
book_apotheosis_realquest_alt_name,Day 297,День 297,,,,,,,第二百九十七天,,,,,
book_apotheosis_realquest_alt_description,Remember.\nThe red fish is real.\nThe red fish is real.\nThe red fish is real.\nThe red fish is real.\nThe red fish is real\nThe red fish is reall\nThe red f,Помни.\nКрасная рыба реальна.\nКрасная рыба реальна.\nКрасная рыба реальна.\nКрасная рыба реальна.\nКрасная рыба реальна.\nКрасная рыба реальна.\nКрасная р,,,,,,,切记。\n朱红鱼是真实存在的。\n朱红鱼是真实存在的。\n朱红鱼是真实存在的。\n朱红鱼是真实存在的。\n朱红鱼是真实存在的\n朱红鱼是真实存左的\n朱纟,,,,,
book_apotheosis_realquest_tale_name,Gone Fishing,Ушёл на рыбалку,,,,,,,前去钓鱼,釣りの書,,,,
book_apotheosis_realquest_tale_description,"The grand red fish is divine bait, only with it will one catch \nthe grandest of beasts lying at the ocean's trench.\nFinding such a specimen often requires one's entire life however, \nand those who have tried often return without fruit or holding defeat.\nTales speak of the red fish coming to those who wait patiently at the water, \nbut only if your palm holds the right blessing.","Великая красная рыба - это божественная наживка, только с её помощью можно поймать \nвеличайших из зверей, лежащих в океанском жёлобе.\nОднако поиск такого экземпляра часто требует всей жизни, \nи те, кто пытался, часто возвращаются ни с чем или терпят поражение.\nСказки говорят, что красная рыба приходит к тем, кто терпеливо ждёт у воды, \nно только если на вашей ладони лежит правильное благословение.",,,,,,,伟大的朱红鱼是种神圣的鱼饵，只有用它\n才能钓出海沟中潜藏的最庞大的野兽。\n然而寻求这种鱼饵却常常需要付出一生，\n尝试过的人也往往无功而返或抱憾而归。\n传说朱红鱼会靠近在水边耐心等待的人，\n但前提是你手中握有正确的祝福。,,,,,
book_apotheosis_materia_conversion,Materialist's Notes,Заметки материалиста,,,,,,,物质学家的笔记,マテリアについてのメモ,,,,
book_apotheosis_kings_name,Book of Kings,Книга королей,,,,,,,王者之书,,,,,
book_apotheosis_kings_description,I once met a king from a far away land.\nHis knowledge was vast and endless.\nYet despite his power he still couldn't attain one thing.\nHe wished in his last moments to be united with the furthest true knowledge in this world.,"Однажды я встретил короля из далёкой страны.\nЕго знания были обширны и бесконечны.\nНо, несмотря на свою власть, он всё же не смог достичь одного.\nВ последние минуты жизни он хотел соединиться с самым далёким истинным знанием в этом мире.",,,,,,,我曾经遇见一个来自遥远国度的国王。\n他的知识渊博无尽。\n然而，尽管他有着无比的力量，他仍然无法获得一件东西。\n在他生命的最后时刻，他希望与这个世界上最深刻的真理结合在一起。,,,,,
perk_apotheosis_shield_oversized_name,Oversized Shield,Увеличенный щит,,,,,,,巨大护盾,メガシールド,,,,
perk_apotheosis_shield_oversized_description,"You gain a very large, permanent shield.","Вы получаете очень большой, постоянный щит.",,,,,,,你获得一面非常大的永久护盾。,巨大な永久シールドが出現する。,,,,
perk_apotheosis_haste_name,Haste,Спешка,,,,,,,急速,電光石火,,,,
perk_apotheosis_haste_description,You move faster and levitate quicker.,Вы двигаетесь быстрее и левитируете быстрее.,,,,,,,你移动和浮空得更快。,全方向への移動が速くなる。,,,,
perk_apotheosis_contactdamage_description,You take no damage from close-range enemy attacks but enemies near you take damage.,"Вы не получаете урона от вражеских атак ближнего боя, но враги рядом с вами получают урон.",,,,,,,接近你的敌人受到伤害，且敌人的近距离攻击不会对你造成伤害。,敵の近接攻撃を無力化し、近くの敵にダメージを与える。,,,,
perk_apotheosis_alcohol_immunity,Alcohol Immunity,Иммунитет к алкоголю,,,,,,,酒精免疫,ウワバミ,,,,
perk_apotheosis_alcohol_immunity_description,You take no effect to being drunk.,На вас не действует опьянение.,,,,,,,醉酒不会对你造成影响。,酔いによるデメリットがなくなる。,,,,
perk_apotheosis_trip_immunity,Shift Immunity,Иммунитет к сдвигу,,,,,,,转换免疫,シフト耐性,,,,
perk_apotheosis_trip_immunity_description,The world is set in stone and can not be shifted so long as you live.,"Мир застыл в камне и не может быть сдвинут, пока вы живы.",,,,,,,世界稳如磐石，只要你活着，它就绝不会受到变换。,世界の物質が固定化され、きのこシフトが使えなくなる。,,,,
perk_apotheosis_no_recoil,No Recoil,Без отдачи,,,,,,,无后坐力,反動無効化,,,,
perk_apotheosis_no_recoil_description,Your spells have no recoil.,Ваши заклинания не имеют отдачи.,,,,,,,你的法术没有后坐力。,スペルによる反動がなくなる。,,,,
perk_apotheosis_void,Void,Пустота,,,,,,,虚空,無,,,,
perk_apotheosis_void_description,"Gain immense power, but the void grows jealous of your options.","Получите огромную силу, но пустота будет завидовать вашим возможностям.",,,,,,,获得强大的力量，但虚空越来越嫉妒你的天赋选择权。,強力な力を得られるが、無があなたの選択を徐々に狭めてゆく。,,,,
perk_apotheosis_infinite_flight,Our Gift,Наш дар,,,,,,,恩赐,恩寵,,,,
perk_apotheosis_infinite_flight_description,A divine blessing grants you infinite flight.,Божественное благословение дарует вам бесконечный полёт.,,,,,,,神圣的祝福使你能够无限飞行。,天からの恩寵により、無限に空を飛ぶ力を得る。,,,,
perk_apotheosis_infinite_flight_description_2,"A divine blessing grants you infinite flight.\nSo long, and thanks for all the fish!","Божественное благословение дарует вам бесконечный полёт.\nПрощайте, и спасибо за всю рыбу!",,,,,,,神圣的祝福使你能够无限飞行。\n再见，谢谢你的鱼！,天からの恩寵により、無限に空を飛ぶ力を得る。,,,,
perk_apotheosis_copy_spells,Copy Spells,Копирование заклинаний,,,,,,,复制法术,呪文複製,,,,
perk_apotheosis_copy_spells_description,Copy the Uncopyable.,Скопируйте некопируемое.,,,,,,,原先不可复制的法术变得可复制了。,複製不可属性の付いた魔法が複製可能になる。,,,,
perk_apotheosis_curse_mana,Endless Mana,Бесконечная мана,,,,,,,无尽法力,無限のマナ,,,,
perk_apotheosis_curse_mana_reveal,Curse of Mana,Проклятие маны,,,,,,,法力诅咒,マナの呪い,,,,
perk_apotheosis_curse_mana_description,Your wands feel terribly unstable.. but have infinite mana!,Ваши жезлы кажутся ужасно нестабильными... но у них бесконечная мана!,,,,,,,你的法杖感觉很不稳定..但拥有无限法力！,無限のマナを得られるが、杖が不安定になる。,,,,
perk_apotheosis_curse_mana_description_reveal,You have infinite mana.. but feel horribly sick...,У вас бесконечная мана... но вы чувствуете себя ужасно больным...,,,,,,,你拥有无限的法力..但感觉非常不舒服...,無限のマナを得たが、ひどく気分が悪い。,,,,
perk_apotheosis_curse_mana_disrupt,Disrupted Mana,Нарушенная мана,,,,,,,法力中断,マナ詰まり,,,,
perk_apotheosis_curse_mana_disrupt_description,Your wands are unable to cast!,Ваши жезлы не могут колдовать!,,,,,,,你的法杖不能施法！,この杖はもう使い物にならない。,,,,
perk_apotheosis_no_blood,Smoked Corpses,Закопчённые трупы,,,,,,,灰飞烟灭,ケムリ死体,,,,
perk_apotheosis_no_blood_description,"Enemies leave behind no corpse, and bleed no blood.",Враги не оставляют после себя трупов и не кровоточат.,,,,,,,敌人死亡时不会留下尸体，也不会流血。,敵が死体を残さず、血も流さなくなる。,,,,
perk_apotheosis_god_ti,Divine Intervention,Божественное вмешательство,,,,,,,神圣干预,神々の試練,,,,
perk_apotheosis_god_ti_description,The gods will cause something sporadic to occur every 3-4 minutes.,Боги будут вызывать что-то случайное каждые 3-4 минуты.,,,,,,,众神每 3 至 4 分钟显露些许神迹。,3-4分ごとに神々が様々な試練をあなたに課す。,,,,
perk_apotheosis_plane_radar,Divine Radar,Божественный радар,,,,,,,神圣雷达,神通力,,,,
perk_apotheosis_plane_radar_description,You can sense otherworldy energy somewhere in the world.,Вы можете почувствовать потустороннюю энергию где-то в мире.,,,,,,,可以感应世界某处的异界能量。,世界のどこかに流れる、異界の力を感じられるようになる。,,,,
perk_apotheosis_respawn_spent,Extra Life (Spent),Дополнительная жизнь (использована),,,,,,,额外生命（已消耗）,追加ライフ（使用済み）,,,,
perk_apotheosis_respawn_spent_description,This extra life has been spent and is no longer usable.,Эта дополнительная жизнь потрачена и больше не может быть использована.,,,,,,,这条额外生命已被消耗，不再能保护你。,使用済みの追加ライフ。効果が消失している。,,,,
status_apotheosis_nohealing_name,Wounded,Раненый,,,,,,,受创,負傷,,,,
status_apotheosis_nohealing_desc,You can not be healed.,Вы не можете быть исцелены.,,,,,,,各类治疗魔法无法治疗你。,回復魔法の効果がない。,,,,
status_apotheosis_teleport_cancel_name,Teleport Nullification,Отмена телепортации,,,,,,,传送无效化,テレポート無効化,,,,
status_apotheosis_teleport_cancel_desc,You can no longer teleport,Вы больше не можете телепортироваться,,,,,,,你无法进行传送。,テレポートできない。,,,,
status_apotheosis_magicwet_intense_ui,Intense Wetness,Интенсивная влажность,,,,,,,强烈潮湿,強烈な湿気,,,,
status_drunk_intense_ui,Aura of Spirits,Аура духов,,,,,,,灵魂光环,スピリッツのオーラ,,,,
status_apotheosis_magicurine_intense_ui,Magic Incontinence,Магическая недержание,,,,,,,魔法失禁,きたない魔力,,,,
status_apotheosis_magicfire_intense_ui,Cursed Flames,Проклятое пламя,,,,,,,诅咒火焰,邪悪な炎,,,,
status_apotheosis_dry_spell_name,Infiltrated,Инфильтрован,,,,,,,固定脏污,浸潤,,,,
status_apotheosis_dry_spell_desc,"Your stains are set in stone, nothing can be removed and nothing can be added.","Ваши пятна застыли в камне, ничто не может быть удалено и ничто не может быть добавлено.",,,,,,,你的脏污效果已固定，无法去除，也无法获得新的脏污。,濡れ状態が固定化されている。,,,,
status_apotheosis_dry_spell_cooldown_name,Exfiltrated,Эксфильтрован,,,,,,,无法固定脏污,乾燥,,,,
status_apotheosis_dry_spell_cooldown_desc,"Your skin feels spongy, your stains can temporarily not be set in stone.","Ваша кожа кажется губчатой, ваши пятна временно не могут застыть в камне.",,,,,,,你的皮肤感觉像海绵一样，你的脏污效果暂时无法固定。,肌の状態が元通りに戻った。濡れ状態の固定化が解除された。,,,,
status_apotheosis_infinite_flight_name,Limitless Flight,Безграничный полёт,,,,,,,无限飞行,無限飛行,,,,
status_apotheosis_infinite_flight_desc,You can fly forever.,Вы можете летать вечно.,,,,,,,你可以一直飞。,無限に空を飛べるようになった。,,,,
status_apotheosis_escapium_name,Safe Escape,Безопасный побег,,,,,,,安全逃生,逃げの達人,,,,
status_apotheosis_escapium_desc,"A protective barrier shields you, and you feel faster.","Защитный барьер защищает вас, и вы чувствуете себя быстрее.",,,,,,,一道保护屏障将你护住，并且你移动更快。,バリアが出現し、さらに移動速度が上昇している。,,,,
status_apotheosis_projectile_immunity_name,Projectile Assimilation,Поглощение снарядов,,,,,,,投射物吸收,放射物エネルギー吸収,,,,
status_apotheosis_projectile_immunity_desc,You heal from projectiles.,Вы исцеляетесь от снарядов.,,,,,,,投射物会使你回复生命值。,放射物で回復できるようになった。,,,,
status_apotheosis_homing_name,Projectile Attunement,Настройка снарядов,,,,,,,魔法校准,魔法調律,,,,
status_apotheosis_homing_desc,Your spells seek targets automatically.,Ваши заклинания автоматически ищут цели.,,,,,,,你的法术自动寻找目标。,スペルがひとりでに敵を狙うようになった。,,,,
status_apotheosis_light_reflect_name,Magical Light,Волшебный свет,,,,,,,魔法之光,魔法の光,,,,
status_apotheosis_light_reflect_desc,Taking damage causes you to retaliate with a beam of light.,Получение урона заставляет вас отвечать лучом света.,,,,,,,你受到伤害会反射一束复仇光线,ダメージを負うと、ビームを放って反撃する。,,,,
status_apotheosis_breath_drain_name,Suffocating,Удушье,,,,,,,窒息,窒息,,,,
status_apotheosis_breath_drain_desc,You are rapidly loosing oxygen!!,Вы быстро теряете кислород!!,,,,,,,你快速地失去氧气！,酸素が急激に失われていく。,,,,
status_apotheosis_speedup_name,Accelerated Velocity,Ускоренная скорость,,,,,,,加速,超加速,,,,
status_apotheosis_speedup_desc,Your spells feel significantly faster.,Ваши заклинания кажутся значительно быстрее.,,,,,,,你的法术明显快了许多。,とても速く動けるようになった。,,,,
status_apotheosis_clear_status_name,Pure Stomach,Чистый желудок,,,,,,,净胃,ピュアな胃袋,,,,
status_apotheosis_clear_status_desc,Your stomach is clear from negative effects you've ingested.,"Ваш желудок очищен от негативных эффектов, которые вы проглотили.",,,,,,,你不会受到摄取物质的负面效果。,食べ物によるマイナス効果がなくなる。,,,,
status_apotheosis_rideshare_name,Portalic Rideshare,Совместное использование порталов,,,,,,,传送携带,いっしょにテレポート,,,,
status_apotheosis_rideshare_desc,You feel nearby creatures will follow you through portals.,"Вы чувствуете, что ближайшие существа последуют за вами через порталы.",,,,,,,你感觉附近的生物会跟随你穿过传送门。,テレポートした時、周囲の敵もついて来るようになる。,,,,
status_apotheosis_hex_water_name,Abyssal Hex,Проклятие бездны,,,,,,,深渊诅咒,アビスの呪い,,,,
status_apotheosis_hex_water_desc,You take damage from water and other wet substances.,Вы получаете урон от воды и других влажных веществ.,,,,,,,你受到来自水和其他潮湿物质的伤害。,水でダメージを受けるようになった。,,,,
status_apotheosis_hex_oil_name,Industrious Hex,Проклятие трудолюбия,,,,,,,机械诅咒,機械の呪い,,,,
status_apotheosis_hex_oil_desc,You take damage from oil and other oily substances.,Вы получаете урон от нефти и других маслянистых веществ.,,,,,,,你受到来自油和其他油性物质的伤害。,オイルでダメージを受けるようになった。,,,,
status_apotheosis_hex_blood_name,Lively Hex,Проклятие живости,,,,,,,血肉诅咒,生命の呪い,,,,
status_apotheosis_hex_blood_desc,You take damage from blood and other bloody substances.,Вы получаете урон от крови и других кровавых веществ.,,,,,,,你受到来自血和其他血腥物质的伤害。,血でダメージを受けるようになった。,,,,
status_apotheosis_hex_radioactive_name,Virulent Hex,Проклятие ядовитости,,,,,,,毒性诅咒,免疫弱化の呪い,,,,
status_apotheosis_hex_radioactive_desc,You take additional damage from toxic sludge and other toxic substances.,Вы получаете дополнительный урон от токсичных отходов и других токсичных веществ.,,,,,,,你额外受到来自毒性淤泥和其他毒性物质的伤害。,猛毒ヘドロなどの毒性物質によって受けるダメージが増加する。,,,,
status_apotheosis_protection_all_dull_name,Shattered Protection,Разрушенная защита,,,,,,,保护破碎,無防備状態,,,,
status_apotheosis_protection_all_dull_desc,"Provides no protection, spreads to nearby ambrosia.","Не обеспечивает защиту, распространяется на ближайшую амброзию.",,,,,,,并不会提供保护。会传染给附近的神佑魔药,防御系の効果が無効化される。周囲のアンブロシアも効果がなくなる。,,,,
status_apotheosis_infusion_vulnerability_name,Vulnerable Infusion,Вливание уязвимости,,,,,,,易伤附加,弱体化属性,,,,
status_apotheosis_infusion_vulnerability_desc,Your attacks inflict vulnerability.,Ваши атаки наносят уязвимость.,,,,,,,你的攻击附带易伤效果。,あなたの攻撃が、敵に弱体化の効果を与えるようになる。,,,,
status_apotheosis_infusion_hex_water_name,Water Hex Infusion,Вливание проклятия воды,,,,,,,清水诅咒附加,水呪い属性,,,,
status_apotheosis_infusion_hex_water_desc,Your attacks inflict Abyssal Hex.,Ваши атаки наносят проклятие бездны.,,,,,,,你的攻击附带深渊诅咒。,あなたの攻撃が、敵に水の呪いを与えるようになる。,,,,
status_apotheosis_infusion_freeze_name,Freezing Infusion,Замораживающее вливание,,,,,,,冻结附加,凍結属性,,,,
status_apotheosis_infusion_freeze_desc,Your attacks inflict Freeze.,Ваши атаки наносят заморозку.,,,,,,,你的攻击附带冻结效果。,あなたの攻撃に凍結効果が付与される。,,,,
status_apotheosis_no_flight_name,Grounded,Заземлённый,,,,,,,无法飞行,飛行禁止,,,,
status_apotheosis_no_flight_desc,You are unable to levitate.,Вы не можете левитировать.,,,,,,,你无法浮空。,空を飛べなくなる。,,,,
status_apotheosis_creature_shifted_name,The evolution has shifted,Эволюция изменилась,,,,,,,生命的法则受到了变换,生命の姿が変化した,,,,
status_apotheosis_creature_shifted_desc,You sense life is no longer what it used to be.,"Вы чувствуете, что жизнь больше не та, что раньше.",,,,,,,你对生命的感知变得不同以往。,生命の歴史が書き換わっていく。,,,,
status_apotheosis_shielddrain_name,Shield Instability,Нестабильность щита,,,,,,,破盾,シールド無効化,,,,
status_apotheosis_shielddrain_desc,Your plasma shields are neutralized and unable to defend you.,Ваши плазменные щиты нейтрализованы и не могут защитить вас.,,,,,,,你的魔法盾被中和，无法保护你。,エネルギーシールドの効果がなくなる。,,,,
status_apotheosis_mindvision_name,Mind Vision,Ясновидение,,,,,,,心灵之眼,心眼,,,,
status_apotheosis_mindvision_desc,You can see... yourself. Well done.,Вы можете видеть... себя. Молодец.,,,,,,,你可以清楚地看见...你自己。干得真棒。,あなた自身の姿が見えるようになる。終わり！,,,,
status_apotheosis_anthatching_name,Ant Pheromones,Муравьиные феромоны,,,,,,,蚂蚁魅惑,アリのフェロモン,,,,
status_apotheosis_anthatching_desc,Ant eggs will prematurely hatch in your presence.,Муравьиные яйца преждевременно вылупятся в вашем присутствии.,,,,,,,蚁卵因你的存在而提前孵化。,周囲にあるアリの卵がひとりでにふ化する。,,,,
